Order_ID,Order_Date,Region,City,Product_Category,Product_Name,Sales,Cost,Profit,Discount,Customer_Satisfaction,Delivery_Days,Customer_Age,Customer_Segment
ORD00059,2025-11-14,West,Ibadan,Office Supplies,Office Supplies Item 4,524.85,356.9,139.28,9.1,4.4,3.0,32,Corporate
ORD00060,2025-04-04,North,Kaduna,Office Supplies,Office Supplies Item 13,427.51,290.71,105.55,12.2,5.0,1.9,61,Consumer
ORD00061,2025-04-28,East,Owerri,Furniture,Furniture Item 11,1365.48,1201.63,72.87,11.1,4.5,3.6,53,Consumer
ORD00062,2025-09-16,North,Kano,Furniture,Furniture Item 8,1154.47,1015.93,65.9,10.5,4.3,2.3,19,Consumer
ORD00063,2025-11-15,East,Enugu,Electronics,Electronics Item 5,1707.72,1229.56,345.55,12.9,4.0,3.3,28,Small Business
ORD00064,2025-03-17,South,Port Harcourt,Office Supplies,Office Supplies Item 5,574.5,390.66,100.55,24.2,3.3,7.0,54,Corporate
ORD00065,2025-03-19,South,Uyo,Electronics,Electronics Item 1,1338.59,963.79,200.86,21.7,3.3,8.6,42,Consumer
ORD00066,2025-11-05,West,Lagos,Furniture,Furniture Item 10,2102.01,1849.77,134.76,9.3,3.8,5.5,32,Small Business
ORD00067,2025-10-16,South,Port Harcourt,Furniture,Furniture Item 13,2117.53,1863.42,82.88,13.5,3.5,9.1,48,Consumer
ORD00068,2025-12-31,North,Kano,Furniture,Furniture Item 13,2506.33,2205.57,144.39,10.4,4.0,1.0,19,Consumer
ORD00069,2025-04-25,East,Owerri,Office Supplies,Office Supplies Item 7,554.2,376.85,128.83,14.6,3.7,4.4,64,Consumer
ORD00070,2025-12-29,North,Kaduna,Electronics,Electronics Item 11,1043.94,751.64,254.67,6.0,3.8,5.0,29,Consumer
ORD00071,2025-11-20,West,Lagos,Office Supplies,Office Supplies Item 8,545.02,370.62,138.22,11.1,4.8,2.6,58,Small Business
ORD00072,2025-09-14,North,Kaduna,Electronics,Electronics Item 6,1000.98,720.7,239.05,6.9,4.6,3.4,57,Corporate
ORD00073,2025-11-05,South,Uyo,Office Supplies,Office Supplies Item 11,428.48,291.36,78.55,22.8,2.7,7.7,61,Small Business
ORD00074,2025-07-01,North,Kaduna,Electronics,Electronics Item 11,1243.67,895.44,308.39,5.3,3.9,5.2,39,Consumer
ORD00075,2025-02-18,North,Kano,Furniture,Furniture Item 13,1829.56,1610.02,105.92,10.4,4.0,4.2,47,Corporate
ORD00076,2025-07-30,South,Uyo,Electronics,Electronics Item 2,857.12,617.13,162.41,15.1,3.2,7.5,45,Consumer
ORD00077,2025-08-10,South,Port Harcourt,Electronics,Electronics Item 2,961.26,692.11,152.33,20.3,2.7,8.1,24,Corporate
ORD00078,2025-11-17,South,Port Harcourt,Electronics,Electronics Item 8,1384.09,996.55,247.07,16.9,3.0,6.7,51,Corporate
ORD00079,2025-03-29,East,Owerri,Office Supplies,Office Supplies Item 1,396.42,269.56,107.26,8.2,4.3,2.7,40,Corporate
ORD00080,2025-04-22,North,Kano,Furniture,Furniture Item 11,1275.41,1122.36,60.92,12.0,4.5,4.3,59,Corporate
ORD00081,2025-07-14,East,Owerri,Office Supplies,Office Supplies Item 10,590.52,401.55,158.4,8.6,4.1,3.2,39,Corporate
ORD00082,2025-03-22,West,Ibadan,Office Supplies,Office Supplies Item 1,471.24,320.44,123.34,9.7,3.7,3.9,31,Corporate
ORD00083,2025-08-25,South,Port Harcourt,Electronics,Electronics Item 10,799.1,575.35,161.86,12.9,2.4,7.8,29,Consumer
ORD00084,2025-12-28,North,Kaduna,Office Supplies,Office Supplies Item 9,587.19,399.29,139.5,13.7,4.8,5.9,24,Consumer
ORD00085,2025-07-09,South,Uyo,Furniture,Furniture Item 6,1703.52,1499.1,9.68,19.1,3.4,7.9,51,Consumer
ORD00086,2025-06-01,West,Lagos,Furniture,Furniture Item 4,1566.39,1378.42,115.61,7.7,4.3,2.5,60,Corporate
ORD00087,2025-12-31,North,Kaduna,Office Supplies,Office Supplies Item 3,528.5,359.38,131.44,11.9,3.6,6.1,54,Consumer
ORD00088,2025-04-12,East,Enugu,Electronics,Electronics Item 12,890.91,641.46,179.57,13.1,5.0,4.3,33,Small Business
ORD00089,2025-09-21,East,Enugu,Office Supplies,Office Supplies Item 10,579.39,393.99,159.34,7.5,3.6,4.6,58,Small Business
ORD00090,2025-02-16,North,Kano,Office Supplies,Office Supplies Item 14,406.21,276.22,113.4,6.8,4.3,5.0,32,Corporate
ORD00091,2025-05-17,North,Kano,Office Supplies,Office Supplies Item 10,444.04,301.95,105.81,13.6,4.0,4.8,56,Consumer
ORD00092,2025-06-08,South,Uyo,Electronics,Electronics Item 1,1234.47,888.82,214.31,17.7,3.0,7.7,21,Corporate
ORD00093,2025-07-29,South,Port Harcourt,Furniture,Furniture Item 8,1680.8,1479.1,-74.41,27.4,2.8,8.7,61,Small Business
ORD00094,2025-09-23,North,Kaduna,Furniture,Furniture Item 14,2229.27,1961.76,101.98,12.4,4.1,3.5,47,Small Business
ORD00095,2025-05-26,South,Port Harcourt,Electronics,Electronics Item 14,952.86,686.06,147.83,20.8,2.5,6.7,41,Consumer
ORD00096,2025-11-29,West,Lagos,Office Supplies,Office Supplies Item 5,600.19,408.13,165.71,7.3,4.4,4.2,62,Consumer
ORD00097,2025-04-17,North,Kano,Electronics,Electronics Item 1,1096.94,789.79,260.0,7.2,5.0,5.4,59,Consumer
ORD00098,2025-12-04,East,Owerri,Office Supplies,Office Supplies Item 9,578.96,393.69,151.8,9.6,4.5,5.7,26,Small Business
ORD00099,2025-12-23,North,Kaduna,Furniture,Furniture Item 11,1798.65,1582.81,157.09,5.4,4.4,1.9,51,Consumer
ORD00100,2025-02-07,South,Port Harcourt,Electronics,Electronics Item 8,881.84,634.92,114.92,24.9,3.5,8.8,51,Consumer
ORD00101,2025-08-25,East,Owerri,Office Supplies,Office Supplies Item 9,577.3,392.56,137.38,13.7,4.5,4.5,59,Consumer
ORD00102,2025-06-04,East,Enugu,Office Supplies,Office Supplies Item 10,510.73,347.29,118.65,14.6,4.2,5.2,27,Corporate
ORD00103,2025-06-07,West,Ibadan,Office Supplies,Office Supplies Item 1,462.87,314.75,134.06,5.1,4.5,5.5,58,Corporate
ORD00104,2025-08-11,South,Uyo,Furniture,Furniture Item 12,1172.71,1031.99,7.96,18.9,3.9,9.2,32,Small Business
ORD00105,2025-10-05,West,Ibadan,Office Supplies,Office Supplies Item 11,583.19,396.57,152.55,9.7,4.0,5.2,52,Consumer
ORD00106,2025-01-07,North,Kaduna,Electronics,Electronics Item 10,1329.93,957.55,293.49,9.9,4.6,4.9,51,Consumer
ORD00107,2025-10-12,West,Lagos,Furniture,Furniture Item 11,1932.01,1700.16,93.47,11.9,4.6,3.4,20,Small Business
ORD00108,2025-08-24,North,Kaduna,Office Supplies,Office Supplies Item 9,615.05,418.24,162.88,9.2,4.9,2.5,22,Small Business
ORD00109,2025-09-14,South,Uyo,Electronics,Electronics Item 4,834.4,600.77,116.6,23.4,3.0,10.0,24,Corporate
ORD00110,2025-06-30,West,Ibadan,Furniture,Furniture Item 1,1769.86,1557.48,74.7,13.0,4.2,2.8,61,Consumer
ORD00111,2025-01-09,North,Kaduna,Electronics,Electronics Item 1,601.55,433.11,129.08,10.9,4.3,5.4,25,Consumer
ORD00112,2025-11-16,South,Port Harcourt,Furniture,Furniture Item 8,1805.7,1589.02,1.45,19.9,3.4,6.6,58,Consumer
ORD00113,2025-02-15,North,Kano,Furniture,Furniture Item 14,1228.68,1081.24,53.39,12.8,4.6,2.6,50,Corporate
ORD00114,2025-06-03,South,Uyo,Office Supplies,Office Supplies Item 9,469.16,319.03,96.81,18.9,2.8,6.8,23,Corporate
ORD00115,2025-08-11,South,Uyo,Office Supplies,Office Supplies Item 6,498.62,339.06,87.89,24.0,3.9,8.3,43,Consumer
ORD00116,2025-05-07,South,Uyo,Furniture,Furniture Item 14,1496.16,1316.62,-28.56,23.2,4.2,7.5,53,Corporate
ORD00117,2025-08-09,West,Lagos,Electronics,Electronics Item 3,793.98,571.66,172.65,10.4,3.9,5.4,52,Consumer
ORD00118,2025-07-26,South,Uyo,Electronics,Electronics Item 12,1058.95,762.44,145.5,23.8,3.3,8.7,41,Consumer
ORD00119,2025-04-06,East,Owerri,Office Supplies,Office Supplies Item 3,543.87,369.83,128.33,14.0,3.5,4.0,29,Consumer
ORD00120,2025-01-18,East,Enugu,Electronics,Electronics Item 10,771.13,555.21,156.88,12.8,3.6,6.0,61,Consumer
ORD00121,2025-01-02,North,Kaduna,Electronics,Electronics Item 4,698.88,503.19,157.74,9.1,4.8,3.8,19,Consumer
ORD00122,2025-05-25,South,Port Harcourt,Furniture,Furniture Item 11,2199.57,1935.63,17.55,18.7,4.0,9.3,27,Consumer
ORD00123,2025-09-27,South,Port Harcourt,Electronics,Electronics Item 5,1057.67,761.52,177.74,18.7,3.2,8.0,64,Corporate
ORD00124,2025-06-14,West,Ibadan,Office Supplies,Office Supplies Item 13,512.07,348.21,130.51,10.9,4.4,3.6,37,Consumer
ORD00125,2025-05-10,North,Kaduna,Office Supplies,Office Supplies Item 10,521.26,354.46,141.28,8.2,4.0,3.9,37,Small Business
ORD00126,2025-08-04,East,Owerri,Office Supplies,Office Supplies Item 11,484.93,329.75,122.03,11.4,4.6,3.8,40,Corporate
ORD00127,2025-12-06,North,Kano,Electronics,Electronics Item 5,985.84,709.81,206.63,11.7,4.0,4.8,64,Consumer
ORD00128,2025-10-17,East,Enugu,Office Supplies,Office Supplies Item 8,699.4,475.59,174.15,11.8,4.2,6.9,64,Consumer
ORD00129,2025-03-17,North,Kaduna,Office Supplies,Office Supplies Item 10,316.33,215.11,79.23,11.6,4.9,4.8,45,Consumer
ORD00130,2025-07-11,North,Kaduna,Office Supplies,Office Supplies Item 9,357.37,243.01,82.34,14.9,4.3,3.6,28,Small Business
ORD00131,2025-04-12,South,Uyo,Furniture,Furniture Item 5,1802.47,1586.17,35.41,16.7,2.5,7.4,36,Consumer
ORD00132,2025-11-01,South,Port Harcourt,Electronics,Electronics Item 10,1432.0,1031.04,256.9,16.8,3.9,8.7,25,Consumer
ORD00133,2025-04-27,West,Lagos,Furniture,Furniture Item 6,2031.88,1788.06,117.82,10.3,4.8,1.8,63,Corporate
ORD00134,2025-01-21,North,Kaduna,Office Supplies,Office Supplies Item 3,456.39,310.35,130.4,5.7,4.4,4.2,32,Consumer
ORD00135,2025-05-21,South,Uyo,Electronics,Electronics Item 2,1111.88,800.55,137.89,26.0,3.9,9.1,30,Consumer
ORD00136,2025-12-11,South,Port Harcourt,Office Supplies,Office Supplies Item 4,629.89,428.32,137.07,17.1,3.5,7.0,37,Consumer
ORD00137,2025-09-20,West,Ibadan,Electronics,Electronics Item 9,1222.19,879.98,261.43,11.0,4.2,4.2,43,Consumer
ORD00138,2025-01-10,North,Kaduna,Office Supplies,Office Supplies Item 5,404.06,274.76,95.36,14.0,3.9,2.5,21,Consumer
ORD00139,2025-01-19,West,Lagos,Office Supplies,Office Supplies Item 3,423.95,288.28,111.45,9.5,3.7,3.1,61,Small Business
ORD00140,2025-04-29,South,Uyo,Electronics,Electronics Item 14,1050.71,756.51,152.41,22.5,3.2,5.3,42,Small Business
ORD00141,2025-10-18,East,Owerri,Furniture,Furniture Item 10,2365.2,2081.37,114.6,11.9,4.3,3.3,49,Consumer
ORD00142,2025-02-05,North,Kaduna,Furniture,Furniture Item 7,1255.05,1104.44,82.74,9.0,3.7,2.3,21,Consumer
ORD00143,2025-11-12,North,Kaduna,Electronics,Electronics Item 10,867.29,624.45,185.97,10.9,3.8,5.0,20,Consumer
ORD00144,2025-05-10,West,Ibadan,Furniture,Furniture Item 6,1824.54,1605.6,55.23,15.0,3.9,1.7,61,Consumer
ORD00145,2025-11-29,East,Enugu,Electronics,Electronics Item 12,964.13,694.18,214.98,9.5,3.9,4.1,25,Corporate
ORD00146,2025-05-24,South,Port Harcourt,Furniture,Furniture Item 6,2000.63,1760.56,-17.39,21.4,3.4,8.6,39,Consumer
ORD00147,2025-08-19,West,Lagos,Office Supplies,Office Supplies Item 2,554.81,377.27,159.69,5.4,3.8,5.1,58,Consumer
ORD00148,2025-09-06,South,Port Harcourt,Office Supplies,Office Supplies Item 12,407.03,276.78,75.98,22.2,3.8,8.1,64,Consumer
ORD00149,2025-06-15,West,Lagos,Office Supplies,Office Supplies Item 5,637.42,433.45,179.45,6.4,4.4,4.3,52,Consumer
ORD00150,2025-05-10,South,Uyo,Office Supplies,Office Supplies Item 13,395.76,269.12,68.15,24.6,3.2,7.8,20,Small Business
ORD00151,2025-01-25,East,Owerri,Electronics,Electronics Item 14,912.75,657.18,175.29,14.7,3.5,4.6,37,Consumer
ORD00152,2025-11-12,West,Ibadan,Electronics,Electronics Item 3,1024.53,737.66,218.05,11.2,4.4,2.8,22,Corporate
ORD00153,2025-09-23,North,Kano,Office Supplies,Office Supplies Item 9,510.87,347.39,118.0,14.8,4.0,3.6,45,Consumer
ORD00154,2025-09-20,East,Owerri,Furniture,Furniture Item 12,1592.17,1401.11,82.81,11.3,3.9,3.1,46,Corporate
ORD00155,2025-05-04,West,Ibadan,Electronics,Electronics Item 14,979.09,704.94,233.34,6.9,3.7,5.2,24,Corporate
ORD00156,2025-03-27,West,Lagos,Furniture,Furniture Item 7,853.31,750.91,52.15,9.8,4.4,3.3,22,Consumer
ORD00157,2025-08-01,West,Lagos,Office Supplies,Office Supplies Item 7,384.59,261.52,98.89,10.5,4.7,4.0,43,Consumer
ORD00158,2025-02-03,South,Uyo,Office Supplies,Office Supplies Item 1,396.15,269.38,69.13,24.2,3.9,8.5,26,Small Business
ORD00159,2025-05-10,South,Port Harcourt,Electronics,Electronics Item 1,988.28,711.56,122.17,26.1,2.4,7.5,40,Consumer
ORD00160,2025-03-10,East,Enugu,Furniture,Furniture Item 3,1449.94,1275.95,126.33,5.5,4.4,5.3,41,Consumer
ORD00161,2025-05-28,East,Owerri,Furniture,Furniture Item 12,1191.17,1048.23,67.92,10.5,3.9,1.9,34,Consumer
ORD00162,2025-09-13,South,Port Harcourt,Furniture,Furniture Item 14,1685.34,1483.1,68.05,13.3,3.3,9.5,27,Corporate
ORD00163,2025-05-20,South,Uyo,Furniture,Furniture Item 9,2102.96,1850.61,-59.08,24.7,3.3,9.4,57,Consumer
ORD00164,2025-05-04,South,Uyo,Office Supplies,Office Supplies Item 14,364.08,247.57,86.75,13.6,3.3,8.2,56,Corporate
ORD00165,2025-08-21,South,Port Harcourt,Office Supplies,Office Supplies Item 6,605.37,411.65,102.73,25.0,2.3,7.5,45,Consumer
ORD00166,2025-09-15,North,Kaduna,Electronics,Electronics Item 12,1229.15,884.99,236.11,14.7,4.2,2.6,30,Consumer
ORD00167,2025-07-08,East,Enugu,Electronics,Electronics Item 8,1469.56,1058.08,290.39,13.7,4.7,4.7,59,Consumer
ORD00168,2025-03-13,South,Port Harcourt,Office Supplies,Office Supplies Item 14,491.32,334.1,113.83,14.7,3.3,7.3,56,Corporate
ORD00169,2025-03-07,South,Port Harcourt,Furniture,Furniture Item 6,1902.91,1674.56,-76.8,26.7,3.2,8.4,36,Small Business
ORD00170,2025-05-12,South,Uyo,Office Supplies,Office Supplies Item 6,560.22,380.95,95.93,24.8,2.9,6.4,63,Consumer
ORD00171,2025-02-26,South,Port Harcourt,Furniture,Furniture Item 2,2216.99,1950.95,47.24,16.4,3.7,7.5,36,Consumer
ORD00172,2025-03-01,South,Port Harcourt,Electronics,Electronics Item 13,1378.49,992.51,270.78,13.9,3.5,9.2,53,Consumer
ORD00173,2025-04-23,South,Uyo,Furniture,Furniture Item 14,1796.58,1580.99,56.82,14.7,3.0,7.6,28,Corporate
ORD00174,2025-03-31,East,Enugu,Furniture,Furniture Item 14,2278.8,2005.35,71.15,14.8,3.9,4.6,62,Corporate
ORD00175,2025-12-31,West,Lagos,Electronics,Electronics Item 10,1429.42,1029.18,285.15,13.4,4.4,3.8,22,Corporate
ORD00176,2025-03-31,North,Kaduna,Office Supplies,Office Supplies Item 4,370.73,252.1,87.28,14.1,3.8,3.7,41,Consumer
ORD00177,2025-08-01,North,Kano,Electronics,Electronics Item 9,1288.42,927.67,246.75,14.7,3.8,3.2,30,Consumer
ORD00178,2025-11-25,South,Uyo,Electronics,Electronics Item 2,734.28,528.68,109.48,21.8,3.1,6.7,49,Corporate
ORD00179,2025-05-28,North,Kano,Office Supplies,Office Supplies Item 10,437.05,297.19,119.92,7.6,4.5,3.3,54,Consumer
ORD00180,2025-12-11,West,Ibadan,Electronics,Electronics Item 10,914.78,658.65,222.43,6.1,4.0,3.5,24,Corporate
ORD00181,2025-10-16,South,Port Harcourt,Electronics,Electronics Item 5,1370.72,986.91,191.31,23.4,2.7,5.8,19,Corporate
ORD00182,2025-02-26,East,Owerri,Office Supplies,Office Supplies Item 8,467.16,317.67,122.58,9.6,4.6,3.0,55,Corporate
ORD00183,2025-05-18,West,Lagos,Office Supplies,Office Supplies Item 6,383.4,260.71,107.4,6.6,4.7,3.0,32,Consumer
ORD00184,2025-08-01,East,Owerri,Office Supplies,Office Supplies Item 10,407.16,276.87,112.24,7.4,4.2,4.4,19,Consumer
ORD00185,2025-09-11,South,Uyo,Furniture,Furniture Item 10,1395.29,1227.86,-40.09,24.8,3.9,8.9,25,Consumer
ORD00186,2025-10-24,East,Enugu,Electronics,Electronics Item 6,1015.17,730.92,214.65,11.4,4.6,1.0,29,Consumer
ORD00187,2025-12-02,West,Lagos,Office Supplies,Office Supplies Item 12,534.73,363.62,135.88,11.0,4.2,2.5,60,Consumer
ORD00188,2025-09-03,West,Lagos,Office Supplies,Office Supplies Item 7,463.79,315.37,120.44,10.1,4.4,3.9,38,Corporate
ORD00189,2025-06-11,North,Kano,Office Supplies,Office Supplies Item 14,373.81,254.19,93.0,11.9,4.0,4.4,22,Small Business
ORD00190,2025-09-22,West,Ibadan,Electronics,Electronics Item 8,1241.71,894.03,253.84,12.6,4.6,2.4,51,Corporate
ORD00191,2025-03-17,South,Uyo,Electronics,Electronics Item 1,819.37,589.94,99.39,26.5,3.3,9.3,22,Corporate
ORD00192,2025-12-16,West,Lagos,Electronics,Electronics Item 8,923.87,665.18,189.99,12.4,3.9,3.6,45,Corporate
ORD00193,2025-07-20,East,Enugu,Office Supplies,Office Supplies Item 5,559.13,380.21,138.86,11.9,3.4,2.4,52,Corporate
ORD00194,2025-10-29,East,Owerri,Office Supplies,Office Supplies Item 2,520.58,354.0,127.04,12.7,4.6,4.8,50,Small Business
ORD00195,2025-08-07,South,Port Harcourt,Furniture,Furniture Item 8,1234.22,1086.11,36.25,15.1,4.1,6.7,41,Consumer
ORD00196,2025-04-12,South,Uyo,Office Supplies,Office Supplies Item 9,398.27,270.83,60.57,28.0,3.2,10.0,36,Small Business
ORD00197,2025-04-30,East,Enugu,Electronics,Electronics Item 11,598.45,430.89,120.01,13.2,4.5,4.6,21,Small Business
ORD00198,2025-01-02,East,Owerri,Electronics,Electronics Item 14,1243.74,895.49,237.13,14.9,5.0,4.7,47,Consumer
ORD00199,2025-09-24,West,Ibadan,Furniture,Furniture Item 9,1306.92,1150.09,100.35,7.2,4.9,4.9,26,Corporate
ORD00200,2025-08-04,West,Ibadan,Furniture,Furniture Item 9,1664.51,1464.77,106.82,9.3,3.5,3.2,36,Small Business
ORD00201,2025-04-03,North,Kaduna,Furniture,Furniture Item 6,2099.99,1847.99,159.08,7.4,3.8,4.9,29,Consumer
ORD00202,2025-12-08,South,Uyo,Furniture,Furniture Item 12,1872.56,1647.85,-28.07,22.5,3.4,6.0,23,Consumer
ORD00203,2025-05-16,South,Uyo,Office Supplies,Office Supplies Item 14,425.98,289.67,90.13,18.1,3.2,5.1,25,Consumer
